"comment","social_inclusion"
"I feel grateful for the friendships I’ve made through collaborative projects; they are truly supportive.",10
"The campus's vibrant community has made it easy to make friends; I love being part of such a lively group.",8
"I have enjoyed meeting people at various campus events; each encounter enriches my social life.",5
"While I attend many events, I often leave feeling more alone than connected with others.",5
"I often find myself sitting alone in the dining hall, making me feel isolated despite the crowd.",1
"Despite being surrounded by people, I sometimes feel a deep sense of loneliness on campus.",5
"Making friends can be challenging when everyone seems to already have their own groups.",6
"I struggle to connect with others in large classrooms; it often feels like I'm invisible.",7
"Many social events feel overwhelming; I leave feeling like I didn’t connect with anyone.",5
"I joined clubs to meet people, but sometimes I still feel like an outsider among the group.",3
"I find myself longing for deeper connections; small talk often leaves me feeling unsatisfied.",3
"Even with many opportunities to socialize, I still experience moments of loneliness during my studies.",3
"I often feel like everyone is busy with their own lives, making it hard to form lasting friendships.",6
"Despite being part of a study group, I sometimes feel isolated when they discuss personal topics.",3
"I love attending events, but I frequently leave feeling unfulfilled and disconnected from others.",7
"Some days, the noise of a busy campus only amplifies my feelings of loneliness and isolation.",3
"I sometimes feel like my classmates are friendly but distant, making it hard to forge real connections.",5
"Even though I attend cultural events, I often feel detached from the community vibe.",5
"I wish I could break into existing friend groups; it can feel daunting to approach them.",7
"Social anxiety makes it hard for me to initiate conversations, leaving me feeling lonely at times.",1
"I feel a strong urge to connect with others, yet I struggle to find common ground during conversations.",5
"I appreciate the effort to be inclusive, but I still feel a sense of detachment from my peers.",3
"The pressure to make friends can be overwhelming, especially when I see others connecting easily.",6
"Despite trying to engage in group activities, I still feel a lingering sense of loneliness on campus.",5
"The mix of cultures is fascinating, but I sometimes feel lost when trying to fit in with different groups.",5
"It can be difficult to navigate friendships in such a large university; I often feel like just another face.",6
"Making friends can feel like a race; sometimes I just want to take my time and connect meaningfully.",6
"I enjoy the diversity of our campus but sometimes feel like I'm just an observer rather than a participant.",8
"I appreciate the opportunities to meet new people, but my introverted nature makes it difficult at times.",5
"Finding a true connection amidst the chaos of campus life can be a challenging experience for me.",5
"I often reflect on my friendships and feel grateful, yet I still encounter loneliness during busy weeks.",8
"Even when surrounded by friends, I sometimes experience feelings of loneliness that are hard to shake off.",8
"I appreciate casual friendships, but I long for deeper connections that seem elusive at times.",10
"Engaging in class discussions is rewarding, but I still feel a distance from my classmates outside class.",7
"I try to join in on campus activities, but I often feel like I’m on the outside looking in.",3
"Despite my efforts to connect, I still struggle with feelings of loneliness in a bustling environment.",5
"I’ve met some nice people in my classes, but forming deeper friendships has proven difficult.",6
"I find it hard to balance academics and socializing; sometimes I feel like I’m missing out on connections.",7
"I appreciate the sense of community during group projects, yet I still experience moments of isolation.",5
"Connecting with others during study sessions has been a positive experience, but I crave deeper bonds.",5
"I enjoy casual interactions, but I often wish for friendships that provide a deeper sense of belonging.",8
"I love the social aspect of campus life, but I sometimes feel disconnected from the community as a whole.",7
"Balancing friendships and academics can be tricky; I often feel stretched thin in both areas.",10
"Working in groups has helped me make friends while navigating challenging projects together.",6
"I appreciate how group projects foster collaboration and allow us to share diverse ideas and perspectives.",3
"I love the camaraderie that develops during late-night study sessions with my group; we support each other.",8
"The sense of achievement after completing a group assignment together is truly rewarding.",5
"Collaborating with classmates has helped me strengthen my communication skills while making new friends.",8
"I enjoy brainstorming sessions; they often lead to creative solutions and bonding moments.",5
"Our study group shares laughter and stress relief, making the workload feel lighter and more enjoyable.",3
"Group work has led to some of my best friendships; we help each other grow academically and socially.",8
"Working together on projects creates a strong sense of community among classmates; it’s a great experience.",3
"I love how our diverse perspectives enhance our group discussions, leading to richer outcomes.",5
"The friendships I’ve formed through group work have been invaluable during stressful times.",10
"Group presentations allow us to showcase our unique talents while working towards a common goal.",5
"Collaborating on research has brought us closer together and deepened our understanding of the material.",5
"The late-night study sessions with my group have become a highlight of my academic life.",3
"I appreciate how group assignments promote teamwork; it’s a great way to learn from each other.",5
"I enjoy working with peers who share my enthusiasm; it makes group work feel less daunting.",5
"Sharing the workload in group projects has eased my stress and helped me bond with my classmates.",5
"I love seeing how our group’s diverse skills complement each other, leading to successful outcomes.",5
"Group projects often lead to memorable experiences; I enjoy celebrating our accomplishments together.",5
"The connections I’ve made through group work often extend beyond academics, leading to lasting friendships.",10
"Despite the challenges, I find that group work fosters meaningful connections with my classmates.",7
"Our teamwork during group assignments has developed a strong sense of trust and camaraderie.",7
"I feel grateful for the support I receive from my group members during stressful times; it creates a bond.",10
"I enjoy collaborating on creative projects; it sparks great conversations and friendships.",8
"Working in a group can be fun; we often share snacks and laughs during study sessions.",5
"Group assignments can be a source of motivation, encouraging us to push each other to excel.",5
"Working together on projects has allowed me to develop valuable teamwork skills that will benefit my career.",3
"I appreciate how group work encourages us to listen to each other's ideas, fostering a collaborative spirit.",5
"I love the sense of achievement that comes from completing a project with my group; it’s a shared victory.",3
"While I enjoy group work, sometimes it feels like a struggle to keep everyone engaged and focused.",7
"I often find it difficult to coordinate schedules for group meetings; it can be frustrating at times.",3
"Some group members don’t pull their weight, making the workload uneven and stressful for the rest of us.",3
"I’ve had experiences where communication breakdowns in group projects led to confusion and frustration.",7
"It can be challenging when team dynamics are off; I often feel sidelined during discussions.",5
"I often find that balancing different work styles in a group can lead to tension and miscommunication.",5
"Despite our best efforts, we occasionally end up with conflicting ideas that make it hard to move forward.",3
"I struggle when group members don’t contribute equally; it makes me feel overwhelmed and unsupported.",8
"It’s frustrating when some team members prioritize their own agendas over group goals during projects.",7
"The lack of accountability in group work sometimes leads to poor outcomes, causing frustration for everyone.",3
"I often wish there were clearer guidelines for group work; it would help prevent misunderstandings.",7
"Some group projects feel chaotic and unstructured, which can make it hard to stay focused on our tasks.",5
"It can be discouraging when my input is overlooked during group discussions; I wish for more inclusivity.",3
"I find it hard to connect with classmates during group work when there are conflicting personalities.",3
"In some groups, the decision-making process can be slow and frustrating, leading to unnecessary delays.",3
"I appreciate the diversity in our groups, but sometimes it feels like we struggle to find common ground.",8
"I’ve experienced moments where group members don’t communicate effectively, leading to misunderstandings.",3
"It’s frustrating when some members don’t respect deadlines; it impacts everyone’s workload and morale.",7
"Sometimes, it feels like I’m doing the majority of the work in group projects, which is disheartening.",5
"I often feel disconnected during group discussions when my ideas aren’t acknowledged or valued.",5
"I enjoy the social aspect of group work, but I sometimes find myself feeling isolated from my peers.",3
"I’ve had group experiences where cliques form, making it challenging to connect with everyone involved.",5
"I find it tough when group work becomes more about socializing than actually accomplishing our goals.",3
"When team members are disengaged, it can be disheartening and affect our group dynamics negatively.",3
"Balancing various personalities in group work can be challenging; sometimes, it leads to conflicts.",5
"The expectations for collaboration can feel overwhelming, especially when everyone is busy with their own lives.",3
"I sometimes feel frustrated with the lack of communication; it can lead to misunderstandings about tasks.",5
"Even when working in a group, I sometimes feel a sense of loneliness, especially when ideas clash.",5
"While I appreciate group work, I find it hard to bond with classmates who don’t share the same commitment.",7
"I often leave group meetings feeling drained when discussions become unproductive and chaotic.",5
"Sometimes, I feel lost in the shuffle during group projects, especially when there are larger team sizes.",5
"It can be discouraging when everyone seems to have different priorities in group assignments.",5
"I sometimes feel pressure to take charge during group projects, which can be overwhelming and isolating.",7
"I enjoy working in teams, but I sometimes struggle to feel a sense of belonging when dynamics are off.",5
"I appreciate the effort that goes into group projects, but I often wish for more structure to guide us.",5
"Collaborative work can lead to wonderful connections, but it can also bring moments of frustration and isolation.",3
"I enjoy hearing different ideas during group discussions; it creates an engaging learning environment.",5
"I find that discussing ideas with my group often leads to creative breakthroughs; it’s a rewarding process.",5
"The shared experience of completing a project with a team is fulfilling and often leads to long-lasting friendships.",8
"While I appreciate group work, sometimes it feels like a challenge to stay organized with so many opinions.",5
"Group discussions can be lively and enriching, but they can also lead to misunderstandings if not managed well.",3
